trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-205.90694218981005,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-123.06552294943728,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,3,-117.3638177983098,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-141.6984319309583,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-105.45044578063695,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-91.09998472940259,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-42.11449060779945,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,1,-1.7681814975544201,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-165.05333887766994,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-99.31904187226412,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-142.69897329169314,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-75.40049280634311,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,10,20.911686428888522,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-11.988650804892545,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-64.36197090166367,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-32.8273813342146,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-21.86945189474048,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,2,10.78990560671118,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,-3.118590610617778,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-28.64486116315119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,2,-42.024834796653224,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,3,10.880921837431474,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-7.900885158455938,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-23.120573763715765,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-63.48088304627736,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,6,-74.84564438476845,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,10.62070900788617,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-9.419988841285239,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,14.913610557998764,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.75799975105618,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
