trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99}",30,15,-140.81668895867372,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 3}",1
2,False,"{'a': 0.25, 'e': 0.9801}",20,0,-101.07679733253805,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.970299}",20,0,-92.1559948343776,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.96059601}",20,0,-176.56935166966696,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.25, 'e': 0.9509900498999999}",30,0,-180.72450058281015,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.941480149401}",25,7,-47.783432314019436,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.9320653479069899}",25,0,-111.99393477926533,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.9227446944279201}",25,0,-43.98871099067646,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.9135172474836408}",25,0,-152.4706551630277,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
10,False,"{'a': 0.25, 'e': 0.9043820750088044}",30,0,-175.20747870760292,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.25, 'e': 0.8953382542587164}",20,0,-142.14771546735992,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.25, 'e': 0.8863848717161292}",25,0,-65.05270716148988,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.8775210229989678}",30,20,-36.04654471882821,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.25, 'e': 0.8687458127689782}",20,8,-96.1725265229741,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.25, 'e': 0.8600583546412884}",30,0,-96.12657166403956,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.8514577710948755}",20,0,-73.1283017850307,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.25, 'e': 0.8429431933839268}",25,0,-119.30910337747977,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.8345137614500875}",25,6,-19.995340054029533,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.8261686238355866}",20,0,-2.6515978875855484,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.8179069375972308}",25,0,-68.5050491686844,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.25, 'e': 0.8097278682212584}",25,0,-142.90194749064892,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.25, 'e': 0.8016305895390459}",20,0,-64.5160148967361,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.25, 'e': 0.7936142836436554}",20,0,-109.57864485281213,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.25, 'e': 0.7856781408072188}",20,6,9.708514276987755,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.25, 'e': 0.7778213593991467}",20,2,-64.22065813412247,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
26,False,"{'a': 0.25, 'e': 0.7700431458051551}",30,0,-122.7667498046511,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.25, 'e': 0.7623427143471035}",25,0,-73.80842163239501,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.25, 'e': 0.7547192872036326}",20,0,-51.65770795266269,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
